"state","HorsePopulationHumansPerHorse2016","HorsePopulationTotalHorses2016","HorsePopulationTotalHumans2016"
"Alabama",42.56,114300,4864745
"Alaska",81.48,9100,741504
"Arizona",48.91,142000,6945452
"Arkansas",22.6,132300,2990410
"California",73.36,534500,39209127
"Colorado",26.99,205300,5540921
"Connecticut",88.58,40400,3578674
"Delaware",118.65,8000,949216
"Florida",53.29,387100,20629982
"Georgia",77.42,133100,10304763
"Hawaii",234.12,6100,1428105
"Idaho",13.45,125100,1682930
"Illinois",85.29,150400,12826895
"Indiana",38.43,172600,6633344
"Iowa",20.26,154600,3131785
"Kansas",21,138600,2911263
"Kentucky",18.65,238000,4438229
"Louisiana",38.82,120500,4678215
"Maine",46.55,28600,1331370
"Maryland",59.16,101500,6004692
"Massachusetts",231.39,29500,6826022
"Michigan",52.68,188900,9951890
"Minnesota",37.91,145700,5523409
"Mississippi",34.19,87400,2988298
"Missouri",26.58,229000,6087203
"Montana",9.92,104900,1040863
"Nebraska",16.28,117100,1905924
"Nevada",70.87,41200,2919772
"New Hampshire",114.73,11700,1342373
"New Jersey",149.4,59400,8874516
"New Mexico",18.44,113500,2092789
"New York",127.54,154000,19641589
"North Carolina",49.5,205200,10156679
"North Dakota",15.85,47600,754353
"Ohio",45.45,256000,11635003
"Oklahoma",15.54,252700,3926769
"Oregon",30.26,135200,4091404
"Pennsylvania",57.17,223600,12783538
"Rhode Island",406.56,2600,1057063
"South Carolina",67.37,73600,4958235
"South Dakota",8.94,96500,862890
"Tennessee",40.08,165800,6645011
"Texas",36.42,767100,27937492
"Utah",31.56,96400,3042613
"Vermont",31.5,19800,623644
"Virginia",45.81,183600,8410946
"Washington",36.99,197200,7294680
"West Virginia",26.23,69800,1830929
"Wisconsin",38.41,150300,5772958
"Wyoming",7.43,78600,584290